"<b><a href=""https://en.wikipedia.org/wiki/aerodrome"" title=""aerodrome"">aerodrome</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An airfield used for managed aircraft operation. In Britain, an alternative term for airport."
"<b><a href=""https://en.wikipedia.org/w/index.php?title=available_seat_miles&amp;action=edit&amp;redlink=1"" class=""new"" title=""available seat miles (page does not exist)"">available seat miles</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"<b>Available seat miles</b> (ASMs) is a measure of an <a href=""https://en.wikipedia.org/wiki/airline"" title=""airline"">airline</a> flight's passenger carrying capacity.  It is equal to the number of seats onboard an aircraft multiplied by the distance flown in miles.  For example, a 100-seat aircraft flying 100 miles would result in 10,000 ASMs.  Seats that are not available for sale to revenue-paying passengers (e.g., seats reserved for crew rest, etc.) are excluded from this calculation.  The amount of ASMs flown by an airline during a specified period equals the sum of ASMs flown on all flights during the period."
"<b><a href=""https://en.wikipedia.org/wiki/aviatrix"" title=""aviatrix"">aviatrix</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Female aviator (No longer commonly used, and may be offensive to some.)"
"<b><a href=""https://en.wikipedia.org/wiki/available_ton_miles"" title=""available ton miles"">available ton miles</a> (ATMs)</b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Tons multiplied by miles flown. It is an international measure of the capacity available for a carrier. It is also used to measure capacity available for freight carriers."
"<b><a href=""https://en.wikipedia.org/wiki/balloon"" title=""balloon"">balloon</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An unpowered lighter-than-air craft."
"<b><a href=""https://en.wikipedia.org/wiki/biplane"" title=""biplane"">biplane</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An aeroplane with two similar-sized wings (or pairs of wings), exactly or approximately in vertical alignment."
"<b><a href=""https://en.wikipedia.org/wiki/blimp"" title=""blimp"">blimp</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Non-rigid <a href=""https://en.wikipedia.org/wiki/airship"" title=""airship"">airship</a>. Its shape is maintained by internal pressure."
"<b><a href=""https://en.wikipedia.org/wiki/bomber"" title=""bomber"">bomber</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Military aircraft designed to carry or drop bombs."
"<b><a href=""https://en.wikipedia.org/wiki/breakeven_load_factor"" title=""breakeven load factor"">breakeven load factor</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The load factor necessary for an airline to break even. It is a function of the percent of seats filled at a particular yield versus the airlines operating costs."
"<b><a href=""https://en.wikipedia.org/wiki/camber"" title=""camber"">camber</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The measure of asymmetry between the upper and lower surfaces of an aerofoil."
"<b><a href=""https://en.wikipedia.org/wiki/control_surface"" title=""control surface"">control surface</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Any moveable surface on an <a href=""#A"">aircraft</a> which controls its motion about one of the three principal axes. <a href=""#A"">ailerons</a>, <a href=""#E"">elevators</a>, and the <a href=""#R"">rudder</a> are examples of control surfaces.  In addition, other type of roll control surfaces are roll spoilers that dump lift on one wing or another (as opposed to ailerons), spoilerons (combined spoiler and aileron), and Flaperon (combined flap and aileron).  Other combined controls include the ruddervator (combined elevator and rudder as on the ""V"" tailed Beech Model 35), Elevons combining elevator and ailerons and Flailavators which control pitch &amp; roll as well as flaps in wing trailing edge control surfaces.  Other subsidiary controls are pitch, roll, and rudder trim tabs and the adjustable pitch tailplane (the whole tailplane moves to trim the pitch axis)."
"<b><a href=""https://en.wikipedia.org/wiki/center_of_gravity"" title=""center of gravity"">center of gravity</a> (CG)</b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The point at which the mass of the aircraft would be balanced if it were placed on that single point.  The point changes depending on the loading of the aircraft: fuel, passengers, luggage, etc. Each aircraft has CG limits specified by its manufacturer.  If the CG of the aircraft in its current configuration is outside of the specified limits, the aircraft may be unsafe to fly as the control surfaces will have insufficient authority to safely control the aircraft.  For example, if the CG is behind the aft (rear) CG limit, the aircraft will tend to <a href=""#S"">stall</a>."
"<b><a href=""https://en.wikipedia.org/wiki/chord"" title=""chord"">chord</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The dimension of a wing parallel to the direction of motion. (Compare with span and thickness.)"
"<b><a href=""https://en.wikipedia.org/wiki/control_tower"" title=""control tower"">control tower</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A building at an airport where the air traffic control monitors the movement of aircraft."
"<b><a href=""https://en.wikipedia.org/w/index.php?title=cost_per_available_seat_mile&amp;action=edit&amp;redlink=1"" class=""new"" title=""cost per available seat mile (page does not exist)"">cost per available seat mile</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"(CASM) – The unit operating cost of a carrier, also known as unit cost. The cost, expressed in cents to operate each seat mile offered. Determined by dividing operating costs by ASM (available seat miles)."
"<b><a href=""https://en.wikipedia.org/wiki/course"" title=""course"">course</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The direction in which the aircraft is moving, not to be confused with the <i>heading</i> which is the direction the aircraft is pointing. The course and heading will usually differ because of crosswinds (see <a href=""#C"">crab</a>). The course is also different from the <a href=""#T"">track</a> which is properly the path over the ground that the aircraft has already flown (although course and track are sometimes used synonymously)."
"<b><a href=""https://en.wikipedia.org/wiki/crab"" title=""crab"">crab</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A maneuver used to counteract the drift of an aircraft caused by a crosswind. The pilot will offset the <a href=""#H"">heading</a> of the aircraft from the desired <a href=""#T"">track</a> by a calculated amount, and the aircraft's velocity combined with the wind through <a href=""https://en.wikipedia.org/w/index.php?title=vector_addition&amp;action=edit&amp;redlink=1"" class=""new"" title=""vector addition (page does not exist)"">vector addition</a> will give a net movement in the desired direction."
"<b><a href=""https://en.wikipedia.org/wiki/dihedral"" title=""dihedral"">dihedral</a> angle</b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The angle that an <a href=""#A"">aeroplane's</a> wings make relative to the lateral axis (horizontal plane, when on level ground). A larger dihedral angle gives greater roll(lateral) stability at the cost of efficiency. If the wings angle upwards, it is called the dihedral angle. Downward angled wings are said to have an anhedral angle (increasingly referred to as negative dihedral)."
"<b><a href=""https://en.wikipedia.org/wiki/dirigible"" title=""dirigible"">dirigible</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A lighter-than-air craft that can be steered and propelled through the air. From the French word <i><a href=""https://en.wikipedia.org/wiki/dirigeable"" title=""dirigeable"">dirigeable</a></i> meaning <i>steerable</i>.  (This term is generally considered out-of-date.  The modern term is <a href=""https://en.wikipedia.org/wiki/airship"" title=""airship"">airship</a>.)"
"<b><a href=""https://en.wikipedia.org/w/index.php?title=dry_lease&amp;action=edit&amp;redlink=1"" class=""new"" title=""dry lease (page does not exist)"">dry lease</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A <a href=""https://en.wikipedia.org/wiki/lease"" title=""lease"">lease</a> in which just the <a href=""https://en.wikipedia.org/wiki/aircraft"" title=""aircraft"">aircraft</a> is provided with no crew and maintenance guarantees."
"<b><a href=""https://en.wikipedia.org/wiki/elevon"" title=""elevon"">elevons</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"On an <a href=""#A"">aeroplane</a>, elevons are a single <a href=""#C"">control surface</a> which combines the function of the <a href=""#E"">elevators</a> and <a href=""#A"">ailerons</a> in one. They are usually seen on <a href=""#D"">delta-wing</a> aircraft."
"<b><a href=""https://en.wikipedia.org/wiki/elevator"" title=""elevator"">elevator</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"On an <a href=""#A"">aeroplane</a>, the elevators are a <a href=""#C"">control surface</a> usually on the trailing edge of the <a href=""#H"">horizontal stabilizer</a>. The elevators are used to control <a href=""#P"">pitch</a>."
"<b> <a href=""https://en.wikipedia.org/wiki/feather"" title=""feather"">feather</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"To rotate the <a href=""#P"">pitch</a> of the <a href=""#P"">propeller</a> blades until they are oriented directly into the airflow, providing the least air resistance and no thrust. The propeller is usually feathered when an engine fails."
"<b><a href=""https://en.wikipedia.org/wiki/flight_level"" title=""flight level"">flight level</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Flight level is the nominal altitude of an aircraft referenced to a standard pressure datum, as opposed to the real altitude above mean sea level."
"<b><a href=""https://en.wikipedia.org/wiki/flaps"" title=""flaps"">flaps</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Flaps (often confused with any of the other moveable surfaces) are used on wings to increase lift and/or increase drag as an aircraft flies progressively slower. Increased lift is usually achieved by increasing the wing area and the camber(shape) of the wing to a lesser extent. Increased drag will arise from increasing the area and camber but the greatest effect is achieved with large changes in camber."
"<b><a href=""https://en.wikipedia.org/wiki/glider"" title=""glider"">glider</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An unpowered fixed-wing heavier-than-air craft. (Also <i>sailplane</i>)"
"<b><a href=""https://en.wikipedia.org/wiki/glideslope"" title=""glideslope"">glideslope</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|" An instrument on the ground to allow an instrumental landing."
"<b><a href=""https://en.wikipedia.org/w/index.php?title=Gull_Wing_Flying_Wing&amp;action=edit&amp;redlink=1"" class=""new"" title=""Gull Wing Flying Wing (page does not exist)"">Gull Wing Flying Wing</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A pure flying wing without a fuselage or vertical stabilizers. (Also ""Gull Wing"")."
"<b><a href=""https://en.wikipedia.org/wiki/hangar"" title=""hangar"">hangar</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A large garage-like structure used for storage and repair of <a href=""https://en.wikipedia.org/wiki/aircraft"" title=""aircraft"">aircraft</a>."
"<b><a href=""https://en.wikipedia.org/wiki/heading"" title=""heading"">heading</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The direction in which an <a href=""#A"">aircraft</a> is pointing, measured clockwise in degrees from North. Note that this is not necessarily the same as the aircraft's <a href=""#T"">track</a> because of wind."
"<b><a href=""https://en.wikipedia.org/wiki/helicopter"" title=""helicopter"">helicopter</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A rotor craft with one or more sets of powered blades."
"<b><a href=""https://en.wikipedia.org/w/index.php?title=HIGE&amp;action=edit&amp;redlink=1"" class=""new"" title=""HIGE (page does not exist)"">HIGE</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Hover In Ground Effect. Hovering within one rotor diameter of the ground in order where performance is increased by the interaction of the helicopters rotor downwash and the ground."
"<b><a href=""https://en.wikipedia.org/w/index.php?title=HOGE&amp;action=edit&amp;redlink=1"" class=""new"" title=""HOGE (page does not exist)"">HOGE</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Hover Out of Ground Effect. Hovering at greater than one rotor diameter from the ground where re is no interaction between rotor downwash and the ground."
"<b><a href=""https://en.wikipedia.org/w/index.php?title=instrument_flight_rules&amp;action=edit&amp;redlink=1"" class=""new"" title=""instrument flight rules (page does not exist)"">instrument flight rules</a> (IFR)</b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A regulatory term describing a flight which may be conducted in atmospheric conditions where the pilot cannot fly the aircraft solely by reference to the natural horizon (e.g. in cloud and fog) and must fly only by reference to the aircraft instruments. Compare to <a href=""#V"">visual flight rules</a>."
"<b><a href=""https://en.wikipedia.org/wiki/jet_bridge"" title=""jet bridge"">jet bridge</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An enclosed, movable connector linking a <a href=""https://en.wikipedia.org/wiki/terminal"" title=""terminal"">terminal</a> with an aircraft, used by passengers and crew to embark and disembark from commercial aircraft."
"<b><a href=""https://en.wikipedia.org/wiki/landing_gear"" title=""landing gear"">landing gear</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Structure that supports the aircraft's weight when it is not airborne, often including a shock absorbing mechanism.  Wheels can be used for hard surfaces, skis or skids for ice or snow, and floats or pontoons if landing on the water.  Some aircraft like <a href=""https://en.wikipedia.org/wiki/flying_boats"" title=""flying boats"">flying boats</a> do not require landing gear, since their hull can support them"
"<b><a href=""https://en.wikipedia.org/w/index.php?title=load_factor&amp;action=edit&amp;redlink=1"" class=""new"" title=""load factor (page does not exist)"">load factor</a> (LF)</b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The percentage of seats filled. Determined by dividing Revenue Passenger Miles by Available Seat Miles. Also a measure of the factor of loading on an aircraft, with comparison to gravity. Increases in steep turns and other abrupt manouvers. Given as a factor of gravity with 1g being the standardised acceleration at sea level on land."
"<b><a href=""https://en.wikipedia.org/wiki/mayday"" title=""mayday"">mayday</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"International distress call, derived from the French ""M'aidez"" literal translation ""help me""."
"<b><a href=""https://en.wikipedia.org/w/index.php?title=metaplane&amp;action=edit&amp;redlink=1"" class=""new"" title=""metaplane (page does not exist)"">metaplane</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The configuration of the air vehicle that can be classified as an aerodyne but it uses static lift mostly to enhance stability."
"<b><a href=""https://en.wikipedia.org/wiki/moment_of_inertia"" title=""moment of inertia"">moment</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A measurement of weight at a specific distance (moment arm) from a reference point. This measurement is used to verify the aircraft is within the Center of Gravity (CG) limits. Reference points vary between aircraft."
"<b><a href=""https://en.wikipedia.org/wiki/monocoque"" title=""monocoque"">monocoque</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An object (as in a wing or fuselage) whose skin supports the load as opposed to an internal frame."
"<b><a href=""https://en.wikipedia.org/wiki/monoplane"" title=""monoplane"">monoplane</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An aeroplane with one wing (or pairs of wings)."
"<b><a href=""https://en.wikipedia.org/wiki/panne"" title=""panne"">panne</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"French for non critical breakdown, acronym PAN"
"<b><a href=""https://en.wikipedia.org/wiki/paraglider"" title=""paraglider"">paraglider</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A paraglider is a gliding parakite or kite, a type of hang glider that uses one or more tethers to suspend payload."
"<b><a href=""https://en.wikipedia.org/wiki/pitch"" title=""pitch"">pitch</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A measure of the degree to which an aircraft's nose tilts up or down. Also a measure of the <a href=""https://en.wikipedia.org/wiki/angle_of_attack"" title=""angle of attack"">angle of attack</a> of a <a href=""https://en.wikipedia.org/wiki/propeller"" title=""propeller"">propeller</a>."
"<b><a href=""https://en.wikipedia.org/wiki/pitot_tube"" title=""pitot tube"">pitot tube</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A Pitot tube is a measuring instrument used to measure fluid flow, and more specifically, used to determine airspeed on aircraft. The Pitot tube is named after its inventor, Henri Pitot, and was modified to its modern form by Henry Darcy."
"<b><a href=""https://en.wikipedia.org/wiki/powerplant"" title=""powerplant"">powerplant</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A powered aircraft's source of power, usually either a <a href=""https://en.wikipedia.org/wiki/jet_engine"" title=""jet engine"">jet engine</a> or a conventional <a href=""https://en.wikipedia.org/wiki/internal_combustion_engine"" title=""internal combustion engine"">engine</a> and <a href=""https://en.wikipedia.org/wiki/propeller"" title=""propeller"">propeller</a>."
"<b><a href=""https://en.wikipedia.org/wiki/pressure_altitude"" title=""pressure altitude"">pressure altitude</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The indicated altitude when an altimeter is set to 1013 hPa (29.92 inHg US and Canada)."
"<b><a href=""https://en.wikipedia.org/wiki/roll"" title=""roll"">roll</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Rotation about an axis aligned with the direction in which the aircraft is flying. This axis is also known as the longitudinal axis."
"<b><a href=""https://en.wikipedia.org/wiki/rotorcraft"" title=""rotorcraft"">rotorcraft</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An aircraft that derives its lift from rotating lifting surfaces (usually called <i>blades</i>)"
"<b><a href=""https://en.wikipedia.org/wiki/rudder"" title=""rudder"">rudder</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"On an <a href=""#A"">aeroplane</a>, the rudder is a <a href=""#C"">control surface</a> usually on the trailing edge of the <a href=""#V"">vertical stabilizer</a> or fin. The rudder is used to control <a href=""#Y"">yaw</a>."
"<b><a href=""https://en.wikipedia.org/w/index.php?title=ruddervator&amp;action=edit&amp;redlink=1"" class=""new"" title=""ruddervator (page does not exist)"">ruddervators</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"On an <a href=""#A"">aeroplane</a>, ruddervators are a single <a href=""#C"">control surface</a> which combine the function of the <a href=""#R"">rudder</a> and <a href=""#E"">elevators</a> in one. They are usually seen on <a href=""https://en.wikipedia.org/w/index.php?title=V-tail&amp;action=edit&amp;redlink=1"" class=""new"" title=""V-tail (page does not exist)"">V-tail</a> aircraft."
"<b><a href=""https://en.wikipedia.org/wiki/runway"" title=""runway"">runway</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The part of an airport used for takeoff and landing of aircraft."
"<b><a href=""https://en.wikipedia.org/wiki/sailplane"" title=""sailplane"">sailplane</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An unpowered fixed-wing heavier-than-air craft. (Also <i>glider</i>)"
"<b><a href=""https://en.wikipedia.org/wiki/sesquiplane"" title=""sesquiplane"">sesquiplane</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An aeroplane with two wings (or pairs of wings), where one (often the lower) is significantly smaller than the other in span and/or chord."
"<b><a href=""https://en.wikipedia.org/wiki/slip"" title=""slip"">slip</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A manoevre where an <a href=""#A"">aeroplane</a> pilot <a href=""#R"">rolls</a> the aircraft in one direction with the <a href=""#A"">ailerons</a> and <a href=""#Y"">yaws</a> it in the opposite direction with the <a href=""#R"">rudder</a>. This results in the aircraft continuing to move forward but presenting a larger cross-section to the oncoming air - thereby creating <a href=""#D"">drag</a> and causing the aeroplane to lose altitude rapidly in a controlled manner."
"<b><a href=""https://en.wikipedia.org/wiki/wingspan"" title=""wingspan"">span</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The dimension of a wing perpendicular to the direction of motion. (Compare with chord and thickness.)"
"<b><a href=""https://en.wikipedia.org/wiki/specific_impulse"" title=""specific impulse"">specific impulse</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The specific impulse of a propulsion system is the <a href=""https://en.wikipedia.org/wiki/impulse"" title=""impulse"">impulse</a> (change in momentum) per unit of propellant."
"<b><a href=""https://en.wikipedia.org/wiki/stabilator"" title=""stabilator"">stabilator</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"On an <a href=""#A"">aeroplane</a>, a stabilator is a surface which combines the function of the <a href=""#H"">horizontal stabilizer</a> and <a href=""#E"">elevators</a> in one by allowing the entire horizontal stabilizer to move and control the <a href=""#P"">pitch</a> of the aircraft."
"<b><a href=""https://en.wikipedia.org/wiki/stall"" title=""stall"">stall</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"a condition of an airplane or an airfoil in which lift decreases and drag increases due to the <a href=""https://en.wikipedia.org/w/index.php?title=airflow_separation&amp;action=edit&amp;redlink=1"" class=""new"" title=""airflow separation (page does not exist)"">separation of airflow</a>."
"<b><a href=""https://en.wikipedia.org/wiki/SPS"" title=""SPS"">SPS</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Standard Positioning Services."
"<b><a href=""https://en.wikipedia.org/wiki/synchropter"" title=""synchropter"">synchropter</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Any twin-rotor helicopter that uses <a href=""#I"">intermeshing rotors</a> for its flight capabilities."
"<b><a href=""https://en.wikipedia.org/wiki/tailplane"" title=""tailplane"">tailplane</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Usually synonymous with <a href=""#S"">stabilator</a>."
"<b><a href=""https://en.wikipedia.org/wiki/taxi"" title=""taxi"">taxi</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The movement of an aircraft on the ground under its own power."
"<b><a href=""https://en.wikipedia.org/wiki/taxiway"" title=""taxiway"">taxiway</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The part of an airport used for taxiing, which links the runways with the terminals and hangars."
"<b><a href=""https://en.wikipedia.org/wiki/terminal"" title=""terminal"">terminal</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A building at an airport where passengers transfer from ground transportation to the facilities that allow them to board aircraft; also, a building at an airport where freight is transferred from ground transportation to aircraft."
"<b><a href=""https://en.wikipedia.org/wiki/track"" title=""track"">track</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The path on the ground over which an <a href=""#A"">aircraft</a> has flown. Also used synonymously with <a href=""#C"">course</a>, the direction in which an aircraft is moving relative to the ground. Note that this is not necessarily the same as the aircraft's <a href=""#H"">heading</a>."
"<b><a href=""https://en.wikipedia.org/wiki/thickness"" title=""thickness"">thickness</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The vertical dimension of a wing. (Compare with span and chord.)"
"<b><a href=""https://en.wikipedia.org/wiki/threshold"" title=""threshold"">threshold</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The beginning of the part of the runway usable for landing"
"<b><a href=""https://en.wikipedia.org/wiki/thrust"" title=""thrust"">thrust</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Thrust is the force upon a system (such as a rocket or jet engine) generated when that system expels or accelerates mass. The resultant thrust force is equal to and in the opposite direction of the expelled mass."
"<b><a href=""https://en.wikipedia.org/w/index.php?title=touchdown_zone&amp;action=edit&amp;redlink=1"" class=""new"" title=""touchdown zone (page does not exist)"">touchdown zone</a> (TDZ)</b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The first 3000 feet of the runway or the first third of the runway, whichever is less, measured from the threshold."
"<b><a href=""https://en.wikipedia.org/wiki/transponder"" title=""transponder"">transponder</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A device on aircraft which uses radio frequencies to identify the aircraft on air traffic control radars"
"<b><a href=""https://en.wikipedia.org/wiki/triplane"" title=""triplane"">triplane</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An aeroplane with three similar-sized wings (or pairs of wings), exactly or approximately in vertical alignment."
